raw_term,source,raw_term_norm,exists_in_esco
Application Development System Online (ADSO),Lightcast,application development system online adso,False
Application Interface Framework,Lightcast,application interface framework,False
Application Programming Interface (API),Lightcast,application programming interface api,False
Aspose,Lightcast,aspose,False
AWS AppSync,Lightcast,aws appsync,False
Azure API Apps,Lightcast,azure api apps,False
Azure API Management,Lightcast,azure api management,False
Box API,Lightcast,box api,False
Camera API,Lightcast,camera api,False
Common ISDN Application Programming Interface (CAPI),Lightcast,common isdn application programming interface capi,False
Content Repository API For Java,Lightcast,content repository api for java,False
Conversions (API),Lightcast,conversions api,False
Core API,Lightcast,core api,False
Core Audio,Lightcast,core audio,False
Criteria API,Lightcast,criteria api,False
D-Bus (Application Layer Protocols),Lightcast,dbus application layer protocols,False
Data Plane Development Kit (DPDK),Lightcast,data plane development kit dpdk,False
Direct3D,Lightcast,direct3d,False
Directcompute,Lightcast,directcompute,False
Document.write,Lightcast,documentwrite,False
Dropbox API,Lightcast,dropbox api,False
eBay API,Lightcast,ebay api,False
Emulator High-Level Language Application Program Interface (EHLLAPI),Lightcast,emulator highlevel language application program interface ehllapi,False
Epoll,Lightcast,epoll,False
Experience API (xAPI),Lightcast,experience api xapi,False
Fabric Application Interface Standards,Lightcast,fabric application interface standards,False
Facebook API,Lightcast,facebook api,False
Facebook Graph API,Lightcast,facebook graph api,False
FastAPI,Lightcast,fastapi,False
Generic Buffer Management,Lightcast,generic buffer management,False
Gmail API,Lightcast,gmail api,False
Gobject,Lightcast,gobject,False
Google Admin SDK,Lightcast,google admin sdk,False
Google APIs,Lightcast,google apis,False
Google Chart API,Lightcast,google chart api,False
Google Gadgets API,Lightcast,google gadgets api,False
Graphics APIs,Lightcast,graphics apis,False
Graphics Device Interface,Lightcast,graphics device interface,False
GSOAP,Lightcast,gsoap,False
Gtkmm,Lightcast,gtkmm,False
Hardware Platform Interface,Lightcast,hardware platform interface,False
Hasura GraphQL Engine,Lightcast,hasura graphql engine,False
Hateoas,Lightcast,hateoas,False
HubSpot API,Lightcast,hubspot api,False
Image Mastering API,Lightcast,image mastering api,False
Interface Description Language,Lightcast,interface description language,False
Isapi Extension,Lightcast,isapi extension,False
Jakarta Persistence API,Lightcast,jakarta persistence api,False
Jakarta RESTful Web Services,Lightcast,jakarta restful web services,False
Jakarta XML Messaging,Lightcast,jakarta xml messaging,False
Jakarta XML Processing,Lightcast,jakarta xml processing,False
Java Advanced Imaging,Lightcast,java advanced imaging,False
Java API For XML Registries,Lightcast,java api for xml registries,False
Java APIs,Lightcast,java apis,False
Java APIs For Integrated Networks,Lightcast,java apis for integrated networks,False
Java Mobile Media API,Lightcast,java mobile media api,False
Java Remote Method Invocation,Lightcast,java remote method invocation,False
Java Transaction API,Lightcast,java transaction api,False
JavaMail,Lightcast,javamail,False
JSON APIs,Lightcast,json apis,False
Json.net,Lightcast,jsonnet,False
Ksoap,Lightcast,ksoap,False
Ksoap2,Lightcast,ksoap2,False
Laminas API Tools,Lightcast,laminas api tools,False
Libvirt,Lightcast,libvirt,False
LinkedIn API,Lightcast,linkedin api,False
Linux Kernel API,Lightcast,linux kernel api,False
Location APIs,Lightcast,location apis,False
MailChimp API,Lightcast,mailchimp api,False
Mbeans (Java APIs),Lightcast,mbeans java apis,False
Messaging Application Programming Interface,Lightcast,messaging application programming interface,False
Microsoft CryptoAPI,Lightcast,microsoft cryptoapi,False
Microsoft Graph,Lightcast,microsoft graph,False
Microsoft Speech API,Lightcast,microsoft speech api,False
Microsoft UI Automation,Lightcast,microsoft ui automation,False
Mobile 3D Graphics API,Lightcast,mobile 3d graphics api,False
Mobile Rich Media Ad Interface Definitions (MRAID),Lightcast,mobile rich media ad interface definitions mraid,False
Native API,Lightcast,native api,False
NetBIOS,Lightcast,netbios,False
Netscape Server Application Programming Interface,Lightcast,netscape server application programming interface,False
Netstandard,Lightcast,netstandard,False
Newman,Lightcast,newman,False
Nexmo,Lightcast,nexmo,False
NPAPI,Lightcast,npapi,False
Nusoap,Lightcast,nusoap,False
Object Linking And Embedding - Database (OLE DB),Lightcast,object linking and embedding  database ole db,False
Object Windows Library,Lightcast,object windows library,False
Omnipay,Lightcast,omnipay,False
oneAPI,Lightcast,oneapi,False
Open Commerce API (OCAPI),Lightcast,open commerce api ocapi,False
Open Service Interface Definitions,Lightcast,open service interface definitions,False
OpenAPI,Lightcast,openapi,False
OpenAPI Specification,Lightcast,openapi specification,False
OpenCL,Lightcast,opencl,False
OpenMAX,Lightcast,openmax,False
OpenMP,Lightcast,openmp,False
Oracle JDBC,Lightcast,oracle jdbc,False
Payment Gateway Integration,Lightcast,payment gateway integration,False
Performance Application Programming Interface,Lightcast,performance application programming interface,False
Plivo,Lightcast,plivo,False
Pluggable Authentication Module (PAM),Lightcast,pluggable authentication module pam,False
POSIX Threads,Lightcast,posix threads,False
Postman API Platform,Lightcast,postman api platform,False
Ptrace,Lightcast,ptrace,False
Quartz.net,Lightcast,quartznet,False
Rauth,Lightcast,rauth,False
ReadyAPI,Lightcast,readyapi,False
Remote Application Platform,Lightcast,remote application platform,False
REST API Development,Lightcast,rest api development,False
RESTEasy (JBoss),Lightcast,resteasy jboss,False
RESTful API,Lightcast,restful api,False
Restkit,Lightcast,restkit,False
Restlet,Lightcast,restlet,False
Retrofit2,Lightcast,retrofit2,False
S Interface,Lightcast,s interface,False
Soapsonar,Lightcast,soapsonar,False
Social Media APIs,Lightcast,social media apis,False
Software Adapters,Lightcast,software adapters,False
Strongloop,Lightcast,strongloop,False
Swagger UI,Lightcast,swagger ui,False
Task Parallel Library (.NET Framework),Lightcast,task parallel library net framework,False
Tastypie,Lightcast,tastypie,False
Telephony Application Programming Interface,Lightcast,telephony application programming interface,False
Termcap,Lightcast,termcap,False
Urllib2,Lightcast,urllib2,False
Video Acceleration API,Lightcast,video acceleration api,False
Vulkan Graphics API,Lightcast,vulkan graphics api,False
Wcf Rest,Lightcast,wcf rest,False
WCF/Web API,Lightcast,wcfweb api,False
WebRTC,Lightcast,webrtc,False
Windows API,Lightcast,windows api,False
Windows Audio Session API (WASAPI),Lightcast,windows audio session api wasapi,False
Wiremock,Lightcast,wiremock,False
WordPress REST API,Lightcast,wordpress rest api,False
Workflow APIs,Lightcast,workflow apis,False
YouTube API,Lightcast,youtube api,False
3D Reconstruction,Lightcast,3d reconstruction,False
Activity Recognition,Lightcast,activity recognition,False
AdaBoost (Adaptive Boosting),Lightcast,adaboost adaptive boosting,False
Adversarial Machine Learning,Lightcast,adversarial machine learning,False
Aforge,Lightcast,aforge,False
Agent Orchestration Frameworks,Lightcast,agent orchestration frameworks,False
AgentGPT,Lightcast,agentgpt,False
Agentic AI,Lightcast,agentic ai,False
Agentic Systems,Lightcast,agentic systems,False
AI Agent Monitoring,Lightcast,ai agent monitoring,False
AI Agent Observability,Lightcast,ai agent observability,False
AI Agents,Lightcast,ai agents,False
AI Algorithms,Lightcast,ai algorithms,False
AI Alignment,Lightcast,ai alignment,False
AI Assisted Content Generation,Lightcast,ai assisted content generation,False
AI Best Practices,Lightcast,ai best practices,False
AI Bias,Lightcast,ai bias,False
AI Copywriting,Lightcast,ai copywriting,False
AI Driven Predictive Scheduling,Lightcast,ai driven predictive scheduling,False
AI Failure,Lightcast,ai failure,False
AI Innovation,Lightcast,ai innovation,False
AI Literacy,Lightcast,ai literacy,False
AI Personalization,Lightcast,ai personalization,False
AI Product Strategy,Lightcast,ai product strategy,False
AI Research,Lightcast,ai research,False
AI Safety,Lightcast,ai safety,False
AI Transcription,Lightcast,ai transcription,False
AI Translation,Lightcast,ai translation,False
AI-Based Legal Compliance,Lightcast,aibased legal compliance,False
AI-Generated Code,Lightcast,aigenerated code,False
AI/ML Inference,Lightcast,aiml inference,False
AIOps (Artificial Intelligence For IT Operations),Lightcast,aiops artificial intelligence for it operations,False
Amazon Alexa,Lightcast,amazon alexa,False
Amazon Forecast,Lightcast,amazon forecast,False
Amazon Personalize,Lightcast,amazon personalize,False
Amazon Textract,Lightcast,amazon textract,False
Amazon Transcribe,Lightcast,amazon transcribe,False
Amelia (IPSoft),Lightcast,amelia ipsoft,False
Apache Mahout,Lightcast,apache mahout,False
Apache MXNet,Lightcast,apache mxnet,False
Apache SINGA,Lightcast,apache singa,False
Applied Machine Learning,Lightcast,applied machine learning,False
Architecture Decision Records,Lightcast,architecture decision records,False
Artificial General Intelligence,Lightcast,artificial general intelligence,False
Artificial Intelligence,Lightcast,artificial intelligence,False
Artificial Intelligence Development,Lightcast,artificial intelligence development,False
Artificial Intelligence Infrastructure,Lightcast,artificial intelligence infrastructure,False
Artificial Intelligence Markup Language (AIML),Lightcast,artificial intelligence markup language aiml,False
Artificial Intelligence Risk,Lightcast,artificial intelligence risk,False
Artificial Intelligence Strategy,Lightcast,artificial intelligence strategy,False
Artificial Intelligence Systems,Lightcast,artificial intelligence systems,False
Association Rule Learning,Lightcast,association rule learning,False
Attention Mechanisms,Lightcast,attention mechanisms,False
Autoencoders,Lightcast,autoencoders,False
AutoGen,Lightcast,autogen,False
Automated Data Cleaning,Lightcast,automated data cleaning,False
Automated Machine Learning,Lightcast,automated machine learning,False
Automation Systems,Lightcast,automation systems,False
AWS AI Tools,Lightcast,aws ai tools,False
AWS Bedrock,Lightcast,aws bedrock,False
AWS SageMaker,Lightcast,aws sagemaker,False
Azure AI Studio,Lightcast,azure ai studio,False
Azure Cognitive Services,Lightcast,azure cognitive services,False
Azure Machine Learning,Lightcast,azure machine learning,False
Azure OpenAI,Lightcast,azure openai,False
Backpropagation,Lightcast,backpropagation,False
Bayesian Belief Networks,Lightcast,bayesian belief networks,False
Boltzmann Machine,Lightcast,boltzmann machine,False
Bot Framework,Lightcast,bot framework,False
Caffe (Framework),Lightcast,caffe framework,False
CatBoost (Machine Learning Library),Lightcast,catboost machine learning library,False
Chatbot,Lightcast,chatbot,False
ChatGPT,Lightcast,chatgpt,False
ChatGPT Integration,Lightcast,chatgpt integration,False
Classification And Regression Tree (CART),Lightcast,classification and regression tree cart,False
Claude AI,Lightcast,claude ai,False
Cognitive Automation,Lightcast,cognitive automation,False
Collaborative Filtering,Lightcast,collaborative filtering,False
Concept Drift Detection,Lightcast,concept drift detection,False
Convolutional Neural Networks (CNN),Lightcast,convolutional neural networks cnn,False
CrewAI,Lightcast,crewai,False
Custom GPTs,Lightcast,custom gpts,False
DALL-E 3,Lightcast,dalle 3,False
Data Sovereignty,Lightcast,data sovereignty,False
Decision-Matrix Method,Lightcast,decisionmatrix method,False
Deep Reinforcement Learning (DRL),Lightcast,deep reinforcement learning drl,False
DeepSeek,Lightcast,deepseek,False
Distributed Machine Learning,Lightcast,distributed machine learning,False
Domain-Specific Execution Planning,Lightcast,domainspecific execution planning,False
Edge Intelligence,Lightcast,edge intelligence,False
Embedded AI,Lightcast,embedded ai,False
Ensemble Methods,Lightcast,ensemble methods,False
Ethical AI,Lightcast,ethical ai,False
Explainable AI (XAI),Lightcast,explainable ai xai,False
Feature Engineering,Lightcast,feature engineering,False
Federated Learning,Lightcast,federated learning,False
Few Shot Learning,Lightcast,few shot learning,False
Fuzzy Set,Lightcast,fuzzy set,False
Generative Adversarial Networks,Lightcast,generative adversarial networks,False
Generative AI Agents,Lightcast,generative ai agents,False
Generative Artificial Intelligence,Lightcast,generative artificial intelligence,False
Genetic Algorithm,Lightcast,genetic algorithm,False
Graph Neural Networks (GNNs),Lightcast,graph neural networks gnns,False
Hidden Markov Model,Lightcast,hidden markov model,False
Human AI Interaction,Lightcast,human ai interaction,False
Hyperparameter Optimization,Lightcast,hyperparameter optimization,False
Image Captioning,Lightcast,image captioning,False
Incremental Learning,Lightcast,incremental learning,False
Intelligent Agent,Lightcast,intelligent agent,False
Intelligent Automation,Lightcast,intelligent automation,False
K-Nearest Neighbors Algorithm,Lightcast,knearest neighbors algorithm,False
Keras (Neural Network Library),Lightcast,keras neural network library,False
AR System Administration,Lightcast,ar system administration,False
ARCore,Lightcast,arcore,False
ARKit,Lightcast,arkit,False
Augmented Reality (AR) Headsets,Lightcast,augmented reality ar headsets,False
Avatar,Lightcast,avatar,False
DAQRI 4D Studio,Lightcast,daqri 4d studio,False
Enscape (VR Rendering Software),Lightcast,enscape vr rendering software,False
Extended Reality,Lightcast,extended reality,False
Google Cardboard,Lightcast,google cardboard,False
Google VR SDK,Lightcast,google vr sdk,False
Haptic Technology,Lightcast,haptic technology,False
Head-Mounted Displays (HMD),Lightcast,headmounted displays hmd,False
Hololens (VR Technology),Lightcast,hololens vr technology,False
HTC Vive,Lightcast,htc vive,False
IMVU,Lightcast,imvu,False
Interactive 3D,Lightcast,interactive 3d,False
Iris Gl,Lightcast,iris gl,False
JanusVR,Lightcast,janusvr,False
Kinect,Lightcast,kinect,False
Leap Motion,Lightcast,leap motion,False
LLaMA (Language Model),Lightcast,llama language model,False
Magic Leap Platform,Lightcast,magic leap platform,False
Matterport,Lightcast,matterport,False
MAVES,Lightcast,maves,False
Metaio,Lightcast,metaio,False
Metaverse,Lightcast,metaverse,False
Mixed Reality,Lightcast,mixed reality,False
Multivision,Lightcast,multivision,False
Oculus,Lightcast,oculus,False
OpenFlight,Lightcast,openflight,False
OpenNI,Lightcast,openni,False
Quest3D,Lightcast,quest3d,False
React VR,Lightcast,react vr,False
Real-Time Computer Graphics,Lightcast,realtime computer graphics,False
Realsense,Lightcast,realsense,False
Samsung Gear VR,Lightcast,samsung gear vr,False
Sceneform,Lightcast,sceneform,False
Skybox Security,Lightcast,skybox security,False
Sony Playstation VR,Lightcast,sony playstation vr,False
Spatial Computing,Lightcast,spatial computing,False
StarVR,Lightcast,starvr,False
SteamVR,Lightcast,steamvr,False
Virtual Reality Modeling Language,Lightcast,virtual reality modeling language,False
Virtual Reality Scene Generators,Lightcast,virtual reality scene generators,False
Virtual Retinal Displays,Lightcast,virtual retinal displays,False
Vuforia,Lightcast,vuforia,False
WebVR,Lightcast,webvr,False
WebXR,Lightcast,webxr,False
Wikitude,Lightcast,wikitude,False
ARCserve Backup Solutions,Lightcast,arcserve backup solutions,False
Asigra Cloud Backup,Lightcast,asigra cloud backup,False
Automatic System Recovery,Lightcast,automatic system recovery,False
AWS Backup,Lightcast,aws backup,False
Backblaze,Lightcast,backblaze,False
Backup Administration,Lightcast,backup administration,False
Backup Agent,Lightcast,backup agent,False
Backup and Recovery Software,Lightcast,backup and recovery software,False
Backup and Recovery System,Lightcast,backup and recovery system,False
Backup And Restore,Lightcast,backup and restore,False
Backup Devices,Lightcast,backup devices,False
Backup Express,Lightcast,backup express,False
Backup Management,Lightcast,backup management,False
Backup Replication,Lightcast,backup replication,False
Backup Tools (Backup Software),Lightcast,backup tools backup software,False
BackupPC,Lightcast,backuppc,False
Bacula,Lightcast,bacula,False
Carbonite (Online Backup),Lightcast,carbonite online backup,False
CloneCD,Lightcast,clonecd,False
Clonezilla,Lightcast,clonezilla,False
Cloudberry,Lightcast,cloudberry,False
Cobian Backup,Lightcast,cobian backup,False
CommVault,Lightcast,commvault,False
Database Backup,Lightcast,database backup,False
Database Dump,Lightcast,database dump,False
Dell Avamar,Lightcast,dell avamar,False
Dell NetWorker,Lightcast,dell networker,False
Differential Backup,Lightcast,differential backup,False
Disk Imaging,Lightcast,disk imaging,False
Disk Mirroring,Lightcast,disk mirroring,False
Drive Image (Storage Software),Lightcast,drive image storage software,False
Druva Software,Lightcast,druva software,False
DVD Decrypter,Lightcast,dvd decrypter,False
DVD Shrink,Lightcast,dvd shrink,False
File Synchronization,Lightcast,file synchronization,False
FlashCopy,Lightcast,flashcopy,False
Ghost (Backup Software),Lightcast,ghost backup software,False
IBM Spectrum Protect,Lightcast,ibm spectrum protect,False
IDrive,Lightcast,idrive,False
Incremental Backup,Lightcast,incremental backup,False
Macrium Reflect,Lightcast,macrium reflect,False
Micro Focus Data Protector,Lightcast,micro focus data protector,False
NetVault Backup,Lightcast,netvault backup,False
OpenDrive,Lightcast,opendrive,False
Percona Xtrabackup (Software),Lightcast,percona xtrabackup software,False
RecoverPoint,Lightcast,recoverpoint,False
Recovery Manager (RMAN),Lightcast,recovery manager rman,False
Remote Backup Services,Lightcast,remote backup services,False
Retrospect (Software),Lightcast,retrospect software,False
Shadow Copy,Lightcast,shadow copy,False
ShadowProtect,Lightcast,shadowprotect,False
SQL Backup And Restore,Lightcast,sql backup and restore,False
Symantec Backup Exec,Lightcast,symantec backup exec,False
SyncBack,Lightcast,syncback,False
System Imaging,Lightcast,system imaging,False
Veritas NetBackup,Lightcast,veritas netbackup,False
Virtual Backup,Lightcast,virtual backup,False
Xcopy,Lightcast,xcopy,False
Zerto,Lightcast,zerto,False
Amazon Braket,Lightcast,amazon braket,False
Apache CloudStack,Lightcast,apache cloudstack,False
Autoscaling,Lightcast,autoscaling,False
AWS Certified Cloud Practitioner,Lightcast,aws certified cloud practitioner,False
AWS Cloud Development Kit (CDK),Lightcast,aws cloud development kit cdk,False
Azure Cloud Services,Lightcast,azure cloud services,False
Ceph (Software),Lightcast,ceph software,False
Certificate Of Cloud Security Knowledge,Lightcast,certificate of cloud security knowledge,False
Cloud Administration,Lightcast,cloud administration,False
Cloud Application Development,Lightcast,cloud application development,False
Cloud DevOps,Lightcast,cloud devops,False
Cloud Engineering,Lightcast,cloud engineering,False
Cloud Governance,Lightcast,cloud governance,False
Cloud Infrastructure,Lightcast,cloud infrastructure,False
Cloud Migration,Lightcast,cloud migration,False
Cloud Operations,Lightcast,cloud operations,False
Cloud Strategy,Lightcast,cloud strategy,False
Cloud-Native Applications,Lightcast,cloudnative applications,False
Cloud-Native Architecture,Lightcast,cloudnative architecture,False
Distributed Cloud,Lightcast,distributed cloud,False
Fog Computing,Lightcast,fog computing,False
Hybrid Cloud Computing,Lightcast,hybrid cloud computing,False
OpenStack,Lightcast,openstack,False
Serverless Computing,Lightcast,serverless computing,False
Serverless Framework,Lightcast,serverless framework,False
Virtual Private Cloud,Lightcast,virtual private cloud,False
Alibaba Cloud,Lightcast,alibaba cloud,False
Amazon CloudFront,Lightcast,amazon cloudfront,False
Amazon EC2,Lightcast,amazon ec2,False
Amazon Elastic Kubernetes Service,Lightcast,amazon elastic kubernetes service,False
Amazon S3,Lightcast,amazon s3,False
AWS Lambda,Lightcast,aws lambda,False
Azure Functions,Lightcast,azure functions,False
Azure Kubernetes Service,Lightcast,azure kubernetes service,False
Google Cloud Platform (GCP),Lightcast,google cloud platform gcp,False
Heroku,Lightcast,heroku,False
Microsoft Azure,Lightcast,microsoft azure,False
Multi-Cloud,Lightcast,multicloud,False
Platform As A Service (PaaS),Lightcast,platform as a service paas,False
Software As A Service (SaaS),Lightcast,software as a service saas,False
Infrastructure As A Service (IaaS),Lightcast,infrastructure as a service iaas,False
Zuora,Lightcast,zuora,False
AccuRev SCM,Lightcast,accurev scm,False
Annotation Processing,Lightcast,annotation processing,False
ANTS Performance Profiler,Lightcast,ants performance profiler,False
Apple Configurator,Lightcast,apple configurator,False
Avaya Device Management,Lightcast,avaya device management,False
AWS OpsWorks,Lightcast,aws opsworks,False
CA Harvest Software Change Manager,Lightcast,ca harvest software change manager,False
CFEngines,Lightcast,cfengines,False
Change Control Process,Lightcast,change control process,False
Chef Solo,Lightcast,chef solo,False
Cisco Configuration Professional,Lightcast,cisco configuration professional,False
CNAME Record,Lightcast,cname record,False
Config Files,Lightcast,config files,False
Configserver,Lightcast,configserver,False
Configuration Item,Lightcast,configuration item,False
Configuration Management,Lightcast,configuration management,False
Configuration Management Databases,Lightcast,configuration management databases,False
Configurators,Lightcast,configurators,False
Connected Device Configuration,Lightcast,connected device configuration,False
Connected Limited Device Configuration,Lightcast,connected limited device configuration,False
Connection String,Lightcast,connection string,False
Deep Freeze,Lightcast,deep freeze,False
Desired State Configuration,Lightcast,desired state configuration,False
DNS Zone,Lightcast,dns zone,False
Ebextensions,Lightcast,ebextensions,False
Extensible Configuration Checklist Description Format,Lightcast,extensible configuration checklist description format,False
Federal Desktop Core Configuration,Lightcast,federal desktop core configuration,False
Fileset,Lightcast,fileset,False
Hardware Configuration Management,Lightcast,hardware configuration management,False
Hocon,Lightcast,hocon,False
HP Command Line Interface (CLI),Lightcast,hp command line interface cli,False
Httpd.conf,Lightcast,httpdconf,False
IBM Software Configuration And Library Management (SCLM),Lightcast,ibm software configuration and library management sclm,False
IBM TPNS,Lightcast,ibm tpns,False
Ifconfig,Lightcast,ifconfig,False
IIS Metabase,Lightcast,iis metabase,False
Inetd,Lightcast,inetd,False
INI File,Lightcast,ini file,False
Installwatch,Lightcast,installwatch,False
Ipconfig,Lightcast,ipconfig,False
Jetadmin,Lightcast,jetadmin,False
Local Management Interface,Lightcast,local management interface,False
Machine.config,Lightcast,machineconfig,False
Micro Focus Dimensions CM,Lightcast,micro focus dimensions cm,False
MSConfig,Lightcast,msconfig,False
Multitopology Routing Configuration,Lightcast,multitopology routing configuration,False
Network Configuration And Change Management,Lightcast,network configuration and change management,False
OpenText UCMDB,Lightcast,opentext ucmdb,False
Physical Configuration Audit,Lightcast,physical configuration audit,False
Plastic SCM,Lightcast,plastic scm,False
Plist,Lightcast,plist,False
Product Configuration,Lightcast,product configuration,False
Profile Configuration Files,Lightcast,profile configuration files,False
Progress Chef (Software),Lightcast,progress chef software,False
Properties File,Lightcast,properties file,False
Puppet (Configuration Management Tool),Lightcast,puppet configuration management tool,False
Red Hat Certified Architect (RHCA),Lightcast,red hat certified architect rhca,False
SAP Configuration,Lightcast,sap configuration,False
Server Configuration,Lightcast,server configuration,False
Software Configuration Management,Lightcast,software configuration management,False
Surround SCM,Lightcast,surround scm,False
System Center Configuration Manager,Lightcast,system center configuration manager,False
System Generation,Lightcast,system generation,False
WebConfig,Lightcast,webconfig,False
Windows SteadyState,Lightcast,windows steadystate,False
Zenworks Patch Management,Lightcast,zenworks patch management,False
Active Directory Rights Management Services,Lightcast,active directory rights management services,False
Acunetix,Lightcast,acunetix,False
Ad-Aware,Lightcast,adaware,False
Address Space Layout Randomization,Lightcast,address space layout randomization,False
Advanced Encryption Standard (AES),Lightcast,advanced encryption standard aes,False
AI Security,Lightcast,ai security,False
AlienVault,Lightcast,alienvault,False
Amazon GuardDuty,Lightcast,amazon guardduty,False
